Trans Number,Number of Items,SKU 1,Quantity,SKU 2,Quantity,SKU 3,Quantity,SKU 4,Quantity,SKU 5,Quantity,SKU 6,Quantity,SKU 7,Quantity,SKU 8,Quantity ,SKU 9,Quantity,SKU 10,Quantity,Online?
23,8,58,5,24,2,24,4,2,3,91,1,40,5,67,3,16,1,0,0,0,0,0
24,6,156,3,5,3,24,5,80,2,48,2,3,3,0,0,0,0,0,0,0,0,0
25,10,117,4,77,1,54,1,91,5,13,5,49,5,7,2,43,1,12,3,5,5,1
26,3,31,2,22,4,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,10,18,2,35,2,97,3,73,3,61,3,94,2,100,2,37,4,46,3,72,1,0
28,6,63,4,59,2,3,5,29,2,38,2,74,5,0,0,0,0,0,0,0,0,0
29,8,136,5,34,4,58,1,87,3,49,5,20,2,54,5,11,4,0,0,0,0,0
30,9,128,4,2,3,14,1,40,3,75,5,85,3,93,4,61,3,2,2,0,0,1
31,7,63,1,22,5,93,5,91,3,39,5,38,4,62,3,0,0,0,0,0,0,0
32,3,135,1,39,5,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,3,2,2,5,10,3,76,4,5,2,14,2,19,5,75,3,22,2,0,0,0
34,1,135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,5,1,15,1,69,1,52,4,28,3,12,4,0,0,0,0,0,0,0,0,0
37,4,125,5,88,5,25,4,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,42,3,91,3,82,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1
39,9,48,4,39,2,75,2,55,1,65,5,54,3,31,1,41,1,64,3,0,0,0
40,3,124,3,21,3,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,8,72,5,83,2,73,1,29,1,93,4,45,4,20,5,30,2,0,0,0,0,0
42,6,96,4,23,5,40,4,11,4,12,3,96,4,0,0,0,0,0,0,0,0,0
43,7,135,1,96,4,56,2,78,4,63,2,86,3,95,5,0,0,0,0,0,0,0
44,5,97,2,41,1,12,4,76,5,87,1,0,0,0,0,0,0,0,0,0,0,0
45,5,93,5,3,4,58,5,41,4,24,5,0,0,0,0,0,0,0,0,0,0,0
46,4,80,5,7,1,50,1,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,90,5,23,2,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,34,5,28,2,100,5,52,4,40,2,0,0,0,0,0,0,0,0,0,0,0
49,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,7,121,3,1,4,24,1,51,4,33,5,7,2,12,4,0,0,0,0,0,0,0
52,4,81,5,67,5,48,3,82,5,0,0,0,0,0,0,0,0,0,0,0,0,1
53,3,144,5,61,4,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2,20,5,94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,10,159,5,40,5,48,3,14,4,37,1,6,5,44,4,58,1,54,1,44,4,0
56,4,24,5,32,3,76,4,52,4,0,0,0,0,0,0,0,0,0,0,0,0,1
57,7,60,4,66,1,14,2,28,3,49,1,49,3,82,5,0,0,0,0,0,0,1
58,4,4,2,44,1,5,3,30,3,0,0,0,0,0,0,0,0,0,0,0,0,1
59,3,151,4,82,2,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,5,75,2,29,2,88,3,97,1,55,4,0,0,0,0,0,0,0,0,0,0,1
61,1,137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,133,1,53,5,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,112,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,7,159,1,67,5,42,1,46,5,23,4,66,3,23,4,0,0,0,0,0,0,1
66,4,154,2,61,2,13,5,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
67,9,60,3,60,5,89,1,42,2,83,3,78,3,46,1,28,3,58,1,0,0,1
68,3,105,2,38,5,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,10,14,2,85,4,22,3,9,4,17,3,21,5,97,5,80,2,49,3,87,5,0
70,1,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,10,135,2,84,5,30,4,48,3,64,4,29,2,100,3,78,5,43,5,23,4,1
72,6,42,4,35,3,76,1,94,3,59,2,13,3,0,0,0,0,0,0,0,0,1
73,10,24,5,39,2,87,2,8,3,62,5,60,5,29,3,42,4,72,5,57,5,1
74,1,140,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1,5,22,4,97,4,85,3,68,1,15,2,57,4,18,5,0,0,0,0,1
76,2,60,3,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4,151,5,46,4,44,5,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,7,20,5,65,2,30,2,8,2,32,2,51,2,15,3,0,0,0,0,0,0,1
79,5,84,2,1,1,35,3,45,4,90,3,0,0,0,0,0,0,0,0,0,0,0
80,3,15,1,34,5,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,10,138,1,62,2,26,3,71,5,14,5,55,1,21,2,93,1,82,3,40,2,1
82,5,21,2,22,1,37,3,77,3,93,3,0,0,0,0,0,0,0,0,0,0,0
83,10,128,4,22,4,59,5,42,2,6,5,41,3,60,1,73,5,55,2,25,1,1
84,7,152,5,31,5,100,1,15,3,100,4,13,1,37,3,0,0,0,0,0,0,0
85,10,102,3,5,1,49,1,97,3,66,5,15,3,97,5,89,4,41,3,57,5,1
86,6,109,4,78,4,9,2,11,2,78,4,24,4,0,0,0,0,0,0,0,0,0
87,5,75,3,89,3,51,5,61,1,55,2,0,0,0,0,0,0,0,0,0,0,1
88,8,134,2,47,1,1,5,9,5,66,3,37,5,80,3,73,2,0,0,0,0,0
89,1,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,20,5,84,1,16,3,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,63,3,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,9,69,2,50,5,94,4,8,3,8,3,92,2,8,5,80,3,98,3,0,0,1
93,10,35,5,52,5,96,4,3,2,27,5,16,5,19,3,89,4,61,5,53,2,1
94,9,58,2,67,5,12,1,29,3,61,2,40,3,78,3,63,1,57,4,0,0,0
95,2,148,2,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,5,160,2,10,5,25,3,15,2,16,4,0,0,0,0,0,0,0,0,0,0,1
97,1,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5,38,1,37,2,67,4,2,5,30,1,0,0,0,0,0,0,0,0,0,0,0
99,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4,1,4,41,4,75,4,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0
